section,diagnosis,icd_10_code,spine_region
trauma,"Fatigue fracture of vertebra, lumbar region, initial encounter for fracture",M48.46XA,lumbar
trauma,"Fatigue fracture of vertebra, lumbosacral region, initial encounter for fracture",M48.47XA,lumbosacral
trauma,"Fatigue fracture of vertebra, sacral and sacrococcygeal region, initial encounter for fracture",M48.48XA,sacral
trauma,"Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture",M48.51XA,occipito-atlanto-axial
trauma,"Collapsed vertebra, not elsewhere classified, cervical region, initial encounter for fracture",M48.52XA,cervical
trauma,"Collapsed vertebra, not elsewhere classified, cervicothoracic region, initial encounter for fracture",M48.53XA,cervicothoracic
trauma,"Collapsed vertebra, not elsewhere classified, thoracic region, initial encounter for fracture",M48.54XA,thoracic
trauma,"Collapsed vertebra, not elsewhere classified, thoracolumbar region, initial encounter for fracture",M48.55XA,thoracolumbar
trauma,"Collapsed vertebra, not elsewhere classified, lumbar region, initial encounter for fracture",M48.56XA,lumbar
trauma,"Collapsed vertebra, not elsewhere classified, lumbosacral region, initial encounter for fracture",M48.57XA,lumbosacral
trauma,"Collapsed vertebra, not elsewhere classified, sacral and sacrococcygeal region, initial encounter for fracture",M48.58XA,sacral
msk,"Other specified spondylopathies, occipito-atlanto-axial region",M48.8X1,occipito-atlanto-axial
msk,"Other specified spondylopathies, cervical region",M48.8X2,cervical
msk,"Other specified spondylopathies, cervicothoracic region",M48.8X3,cervicothoracic
msk,"Other specified spondylopathies, thoracic region",M48.8X4,thoracic
msk,"Other specified spondylopathies, thoracolumbar region",M48.8X5,thoracolumbar
msk,"Other specified spondylopathies, lumbar region",M48.8X6,lumbar
msk,"Other specified spondylopathies, lumbosacral region",M48.8X7,lumbosacral
msk,"Other specified spondylopathies, sacral and sacrococcygeal region",M48.8X8,sacral
msk,"Spondylopathy in diseases classified elsewhere, occipito-atlanto-axial region",M49.81,occipito-atlanto-axial
msk,"Spondylopathy in diseases classified elsewhere, cervical region",M49.82,cervical
msk,"Spondylopathy in diseases classified elsewhere, cervicothoracic region",M49.83,cervicothoracic
msk,"Spondylopathy in diseases classified elsewhere, thoracic region",M49.84,thoracic
msk,"Spondylopathy in diseases classified elsewhere, thoracolumbar region",M49.85,thoracolumbar
msk,"Spondylopathy in diseases classified elsewhere, lumbar region",M49.86,lumbar
msk,"Spondylopathy in diseases classified elsewhere, lumbosacral region",M49.87,lumbosacral
msk,"Spondylopathy in diseases classified elsewhere, sacral and sacrococcygeal region",M49.88,sacral
msk,"Cervical disc disorder with myelopathy, high cervical region",M50.01,cervical
msk,Cervical disc disorder at C4-C5 level with myelopathy,M50.021,cervical
msk,Cervical disc disorder at C5-C6 level with myelopathy,M50.022,cervical
msk,Cervical disc disorder at C6-C7 level with myelopathy,M50.023,cervical
msk,"Cervical disc disorder with myelopathy, cervicothoracic region",M50.03,cervical
msk,"Cervical disc disorder with radiculopathy, high cervical region",M50.11,cervical
msk,Cervical disc disorder at C4-C5 level with radiculopathy,M50.121,cervical
msk,Cervical disc disorder at C5-C6 level with radiculopathy,M50.122,cervical
msk,Cervical disc disorder at C6-C7 level with radiculopathy,M50.123,cervical
msk,"Cervical disc disorder with radiculopathy, cervicothoracic region",M50.13,cervical
msk,"Other cervical disc displacement, high cervical region",M50.21,cervical
msk,Other cervical disc displacement at C4-C5 level,M50.221,cervical
msk,Other cervical disc displacement at C5-C6 level,M50.222,cervical
msk,Other cervical disc displacement at C6-C7 level,M50.223,cervical
msk,"Other cervical disc displacement, cervicothoracic region",M50.23,cervical
msk,"Other cervical disc degeneration, high cervical region",M50.31,cervical
msk,Other cervical disc degeneration at C4-C5 level,M50.321,cervical
msk,Other cervical disc degeneration at C5-C6 level,M50.322,cervical
msk,Other cervical disc degeneration at C6-C7 level,M50.323,cervical
msk,"Other cervical disc degeneration, cervicothoracic region",M50.33,cervical
msk,"Other cervical disc disorders, high cervical region",M50.81,cervical
msk,Other cervical disc disorders at C4-C5 level,M50.821,cervical
msk,Other cervical disc disorders at C5-C6 level,M50.822,cervical
msk,Other cervical disc disorders at C6-C7 level,M50.823,cervical
msk,"Other cervical disc disorders, cervicothoracic region",M50.83,cervical
msk,"Intervertebral disc disorders with myelopathy, thoracic region",M51.04,thoracic
msk,"Intervertebral disc disorders with myelopathy, thoracolumbar region",M51.05,thoracolumbar
msk,"Intervertebral disc disorders with myelopathy, lumbar region",M51.06,lumbar
msk,"Intervertebral disc disorders with radiculopathy, thoracic region",M51.14,thoracic
msk,"Intervertebral disc disorders with radiculopathy, thoracolumbar region",M51.15,thoracolumbar
msk,"Intervertebral disc disorders with radiculopathy, lumbar region",M51.16,lumbar
msk,"Intervertebral disc disorders with radiculopathy, lumbosacral region",M51.17,lumbosacral
msk,"Other intervertebral disc displacement, thoracic region",M51.24,thoracic
msk,"Other intervertebral disc displacement, thoracolumbar region",M51.25,thoracolumbar
msk,"Other intervertebral disc displacement, lumbar region",M51.26,lumbar
msk,"Other intervertebral disc displacement, lumbosacral region",M51.27,lumbosacral
msk,"Other intervertebral disc degeneration, thoracic region",M51.34,thoracic
msk,"Other intervertebral disc degeneration, thoracolumbar region",M51.35,thoracolumbar
msk,"Other intervertebral disc degeneration, lumbar region",M51.36,lumbar
msk,"Other intervertebral disc degeneration, lumbosacral region",M51.37,lumbosacral
msk,"Schmorl's nodes, thoracic region",M51.44,thoracic
msk,"Schmorl's nodes, thoracolumbar region",M51.45,thoracolumbar
msk,"Schmorl's nodes, lumbar region",M51.46,lumbar
msk,"Schmorl's nodes, lumbosacral region",M51.47,lumbosacral
msk,"Other intervertebral disc disorders, thoracic region",M51.84,thoracic
msk,"Other intervertebral disc disorders, thoracolumbar region",M51.85,thoracolumbar
msk,"Other intervertebral disc disorders, lumbar region",M51.86,lumbar
msk,"Other intervertebral disc disorders, lumbosacral region",M51.87,lumbosacral
msk,"Spinal instabilities, occipito-atlanto-axial region",M53.2X1,occipito-atlanto-axial
msk,"Spinal instabilities, cervical region",M53.2X2,cervical
msk,"Spinal instabilities, cervicothoracic region",M53.2X3,cervicothoracic
msk,"Spinal instabilities, thoracic region",M53.2X4,thoracic
msk,"Spinal instabilities, thoracolumbar region",M53.2X5,thoracolumbar
msk,"Spinal instabilities, lumbar region",M53.2X6,lumbar
msk,"Spinal instabilities, lumbosacral region",M53.2X7,lumbosacral
msk,"Spinal instabilities, sacral and sacrococcygeal region",M53.2X8,sacral
msk,"Sacrococcygeal disorders, not elsewhere classified",M53.3,sacral
msk,"Other specified dorsopathies, occipito-atlanto-axial region",M53.81,occipito-atlanto-axial
msk,"Other specified dorsopathies, cervical region",M53.82,cervical
msk,"Other specified dorsopathies, cervicothoracic region",M53.83,cervicothoracic
msk,"Other specified dorsopathies, thoracic region",M53.84,thoracic
msk,"Other specified dorsopathies, thoracolumbar region",M53.85,thoracolumbar
msk,"Other specified dorsopathies, lumbar region",M53.86,lumbar
msk,"Other specified dorsopathies, lumbosacral region",M53.87,lumbosacral
msk,"Other specified dorsopathies, sacral and sacrococcygeal region",M53.88,sacral
msk,"Panniculitis affecting regions of neck and back, occipito-atlanto-axial region",M54.01,occipito-atlanto-axial
msk,"Panniculitis affecting regions of neck and back, cervical region",M54.02,cervical
msk,"Panniculitis affecting regions of neck and back, cervicothoracic region",M54.03,cervicothoracic
msk,"Panniculitis affecting regions of neck and back, thoracic region",M54.04,thoracic
msk,"Panniculitis affecting regions of neck and back, thoracolumbar region",M54.05,thoracolumbar
msk,"Panniculitis affecting regions of neck and back, lumbar region",M54.06,lumbar
msk,"Panniculitis affecting regions of neck and back, lumbosacral region",M54.07,lumbosacral
msk,"Panniculitis affecting regions of neck and back, sacral and sacrococcygeal region",M54.08,sacral
msk,"Radiculopathy, occipito-atlanto-axial region",M54.11,occipito-atlanto-axial
msk,"Radiculopathy, cervical region",M54.12,cervical
msk,"Radiculopathy, cervicothoracic region",M54.13,cervicothoracic
msk,"Radiculopathy, thoracic region",M54.14,thoracic
msk,"Radiculopathy, thoracolumbar region",M54.15,thoracolumbar
msk,"Radiculopathy, lumbar region",M54.16,lumbar
msk,"Radiculopathy, lumbosacral region",M54.17,lumbosacral
msk,"Radiculopathy, sacral and sacrococcygeal region",M54.18,sacral
