level,body_interspace,vertebral_number,approach,category,implant,object,side,x,y,length,width,angle,fusion,interbody_fusion,fixation_uiv_liv,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,direction
L3,body,22,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.305,,0.022,,yes,no,no,,,,,,,,,,,,,,,,,,,0.263,0.305,,,superior
L4,body,23,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.255,,0.023,,yes,no,no,,,,,,,,,,,,,,,,,,,0.215,0.255,,,superior
L5,body,24,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.205,,0.024,,yes,no,no,,,,,,,,,,,,,,,,,,,0.168,0.205,,,superior
S1,body,25,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.15,,0.024,,yes,no,no,,,,,,,,,,,,,,,,,,,0.12,0.163,,,superior
C2,body,2,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.925,,0.012,,yes,no,no,,,,,,,,,,,,,,,,,,,0.925,0.955,,,inferior
C3,body,3,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.897,,0.013,,yes,no,no,,,,,,,,,,,,,,,,,,,0.897,0.918,,,inferior
C4,body,4,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.87,,0.013,,yes,no,no,,,,,,,,,,,,,,,,,,,0.87,0.888,,,inferior
C5,body,5,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.846,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.846,0.865,,,inferior
C6,body,6,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.821,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.821,0.838,,,inferior
C7,body,7,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.795,,0.014,,yes,no,no,,,,,,,,,,,,,,,,,,,0.795,0.815,,,inferior
T1,body,8,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.77,,0.015,,yes,no,no,,,,,,,,,,,,,,,,,,,0.77,0.79,,,inferior
T2,body,9,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.74,,0.015,,yes,no,no,,,,,,,,,,,,,,,,,,,0.74,0.76,,,inferior
T3,body,10,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.712,,0.016,,yes,no,no,,,,,,,,,,,,,,,,,,,0.712,0.732,,,inferior
T4,body,11,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.682,,0.016,,yes,no,no,,,,,,,,,,,,,,,,,,,0.682,0.705,,,inferior
T5,body,12,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.65,,0.017,,yes,no,no,,,,,,,,,,,,,,,,,,,0.65,0.675,,,inferior
T6,body,13,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.62,,0.017,,yes,no,no,,,,,,,,,,,,,,,,,,,0.62,0.645,,,inferior
T7,body,14,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.591,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.591,0.613,,,inferior
T8,body,15,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.56,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.56,0.584,,,inferior
T9,body,16,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.53,,0.018,,yes,no,no,,,,,,,,,,,,,,,,,,,0.53,0.555,,,inferior
T10,body,17,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.495,,0.019,,yes,no,no,,,,,,,,,,,,,,,,,,,0.495,0.525,,,inferior
T11,body,18,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.457,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.457,0.49,,,inferior
T12,body,19,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.415,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.415,0.45,,,inferior
L1,body,20,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.367,,0.02,,yes,no,no,,,,,,,,,,,,,,,,,,,0.367,0.406,,,inferior
L2,body,21,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.317,,0.021,,yes,no,no,,,,,,,,,,,,,,,,,,,0.317,0.357,,,inferior
L3,body,22,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.263,,0.022,,yes,no,no,,,,,,,,,,,,,,,,,,,0.263,0.305,,,inferior
L4,body,23,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.215,,0.023,,yes,no,no,,,,,,,,,,,,,,,,,,,0.215,0.255,,,inferior
L5,body,24,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.168,,0.024,,yes,no,no,,,,,,,,,,,,,,,,,,,0.168,0.205,,,inferior
C1-C2,interspace,1.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.96,,0.0175,,no,no,no,,,,,,,,,,,,,,,,,,,0.965,0.955,,,
C2-C3,interspace,2.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.9215,,0.021,,no,no,no,,,,,,,,,,,,,,,,,,,0.925,0.918,,,
C3-C4,interspace,3.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8925,,0.02275,,no,no,no,,,,,,,,,,,,,,,,,,,0.897,0.888,,,
C4-C5,interspace,4.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8675,,0.02275,,no,no,no,,,,,,,,,,,,,,,,,,,0.87,0.865,,,
C5-C6,interspace,5.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8425,,0.0245,,no,no,no,,,,,,,,,,,,,,,,,,,0.846,0.838,,,
C6-C7,interspace,6.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8175,,0.0245,,no,no,no,,,,,,,,,,,,,,,,,,,0.821,0.815,,,
C7-T1,interspace,7.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.7925,,0.0245,,no,no,no,,,,,,,,,,,,,,,,,,,0.795,0.79,,,
T1-T2,interspace,8.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.765,,0.02625,,no,no,no,,,,,,,,,,,,,,,,,,,0.77,0.76,,,
T2-T3,interspace,9.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.735,,0.02625,,no,no,no,,,,,,,,,,,,,,,,,,,0.74,0.732,,,
T3-T4,interspace,10.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.705,,0.028,,no,no,no,,,,,,,,,,,,,,,,,,,0.712,0.705,,,
T4-T5,interspace,11.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.6725,,0.028,,no,no,no,,,,,,,,,,,,,,,,,,,0.682,0.675,,,
T5-T6,interspace,12.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.6475,,0.02975,,no,no,no,,,,,,,,,,,,,,,,,,,0.65,0.645,,,
T6-T7,interspace,13.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.615,,0.02975,,no,no,no,,,,,,,,,,,,,,,,,,,0.62,0.613,,,
T7-T8,interspace,14.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.5875,,0.0315,,no,no,no,,,,,,,,,,,,,,,,,,,0.591,0.584,,,
T8-T9,interspace,15.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.555,,0.0315,,no,no,no,,,,,,,,,,,,,,,,,,,0.56,0.555,,,
T9-T10,interspace,16.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.5275,,0.0315,,no,no,no,,,,,,,,,,,,,,,,,,,0.53,0.525,,,
T10-T11,interspace,17.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.4925,,0.03325,,no,no,no,,,,,,,,,,,,,,,,,,,0.495,0.49,,,
T11-T12,interspace,18.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.4475,,0.035,,no,no,no,,,,,,,,,,,,,,,,,,,0.457,0.45,,,
T12-L1,interspace,19.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.405,,0.035,,no,no,no,,,,,,,,,,,,,,,,,,,0.415,0.406,,,
L1-L2,interspace,20.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.3575,,0.035,,no,no,no,,,,,,,,,,,,,,,,,,,0.367,0.357,,,
L2-L3,interspace,21.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.309,,0.03675,,no,no,no,,,,,,,,,,,,,,,,,,,0.317,0.305,,,
L3-L4,interspace,22.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.255,,0.0385,,no,no,no,,,,,,,,,,,,,,,,,,,0.263,0.255,,,
L4-L5,interspace,23.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.2125,,0.04025,,no,no,no,,,,,,,,,,,,,,,,,,,0.215,0.205,,,
L5-S1,interspace,24.5,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.155,,0.042,,no,no,no,,,,,,,,,,,,,,,,,,,0.168,0.16,,,
C1-C2,interspace,1.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.96,,0.01,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.94,0.975,,,
C2-C3,interspace,2.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.9215,,0.012,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.9075,0.94,,,
C3-C4,interspace,3.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8925,,0.013,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.879,0.9075,,,
C4-C5,interspace,4.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8675,,0.013,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.8555,0.879,,,
C5-C6,interspace,5.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8425,,0.014,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.8295,0.8555,,,
C6-C7,interspace,6.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8175,,0.014,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.805,0.8295,,,
C7-T1,interspace,7.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.7925,,0.014,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.78,0.805,,,
T1-T2,interspace,8.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.765,,0.015,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.75,0.78,,,
T2-T3,interspace,9.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.735,,0.015,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.722,0.75,,,
T3-T4,interspace,10.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.705,,0.016,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.6935,0.722,,,
T4-T5,interspace,11.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.6725,,0.016,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.6625,0.6935,,,
T5-T6,interspace,12.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.6475,,0.017,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.6325,0.6625,,,
T6-T7,interspace,13.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.615,,0.017,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.602,0.6325,,,
T7-T8,interspace,14.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.5875,,0.018,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.572,0.602,,,
T8-T9,interspace,15.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.555,,0.018,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.5425,0.572,,,
T9-T10,interspace,16.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.5275,,0.018,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.51,0.5425,,,
T10-T11,interspace,17.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.4925,,0.019,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.4735,0.51,,,
T11-T12,interspace,18.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.4475,,0.02,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.4325,0.4735,,,
T12-L1,interspace,19.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.405,,0.02,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.3865,0.4325,,,
L1-L2,interspace,20.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.3575,,0.02,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.337,0.3865,,,
L2-L3,interspace,21.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.309,,0.021,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.284,0.337,,,
L3-L4,interspace,22.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.255,,0.022,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.235,0.284,,,
L4-L5,interspace,23.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.2125,,0.023,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.1865,0.235,,,
L5-S1,interspace,24.5,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.155,,0.024,,yes,no,yes,,,,,,,,,,,,,,,,,,,0.147,0.1865,,,
C1,body,1,anterior,anterior_body,no,corpectomy,central,0.5,0.975,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.965,0.985,0.955,0.96,
C2,body,2,anterior,anterior_body,no,corpectomy,central,0.5,0.94,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.925,0.955,0.918,0.965,
C3,body,3,anterior,anterior_body,no,corpectomy,central,0.5,0.9075,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.897,0.918,0.888,0.925,
C4,body,4,anterior,anterior_body,no,corpectomy,central,0.5,0.879,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.87,0.888,0.865,0.897,
C5,body,5,anterior,anterior_body,no,corpectomy,central,0.5,0.8555,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.846,0.865,0.838,0.87,
C6,body,6,anterior,anterior_body,no,corpectomy,central,0.5,0.8295,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.821,0.838,0.815,0.846,
C7,body,7,anterior,anterior_body,no,corpectomy,central,0.5,0.805,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.795,0.815,0.79,0.821,
T1,body,8,anterior,anterior_body,no,corpectomy,central,0.5,0.78,,0.016,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.77,0.79,0.76,0.795,
T2,body,9,anterior,anterior_body,no,corpectomy,central,0.5,0.75,,0.017,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.74,0.76,0.732,0.77,
T3,body,10,anterior,anterior_body,no,corpectomy,central,0.5,0.722,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.712,0.732,0.705,0.74,
T4,body,11,anterior,anterior_body,no,corpectomy,central,0.5,0.6935,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.682,0.705,0.675,0.712,
T5,body,12,anterior,anterior_body,no,corpectomy,central,0.5,0.6625,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.65,0.675,0.645,0.682,
T6,body,13,anterior,anterior_body,no,corpectomy,central,0.5,0.6325,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.62,0.645,0.613,0.65,
T7,body,14,anterior,anterior_body,no,corpectomy,central,0.5,0.602,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.591,0.613,0.584,0.62,
T8,body,15,anterior,anterior_body,no,corpectomy,central,0.5,0.572,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.56,0.584,0.555,0.591,
T9,body,16,anterior,anterior_body,no,corpectomy,central,0.5,0.5425,,0.02,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.53,0.555,0.525,0.56,
T10,body,17,anterior,anterior_body,no,corpectomy,central,0.5,0.51,,0.023,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.495,0.525,0.49,0.53,
T11,body,18,anterior,anterior_body,no,corpectomy,central,0.5,0.4735,,0.025,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.457,0.49,0.45,0.495,
T12,body,19,anterior,anterior_body,no,corpectomy,central,0.5,0.4325,,0.027,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.415,0.45,0.406,0.457,
L1,body,20,anterior,anterior_body,no,corpectomy,central,0.5,0.3865,,0.028,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.367,0.406,0.357,0.415,
L2,body,21,anterior,anterior_body,no,corpectomy,central,0.5,0.337,,0.029,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.317,0.357,0.305,0.367,
L3,body,22,anterior,anterior_body,no,corpectomy,central,0.5,0.284,,0.03,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.263,0.305,0.255,0.317,
L4,body,23,anterior,anterior_body,no,corpectomy,central,0.5,0.235,,0.03,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.215,0.255,0.205,0.263,
L5,body,24,anterior,anterior_body,no,corpectomy,central,0.5,0.1865,,0.032,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.168,0.205,0.16,0.215,
C2,body,2,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.955,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.925,0.955,0.918,0.965,superior
C3,body,3,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.918,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.897,0.918,0.888,0.925,superior
C4,body,4,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.888,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.87,0.888,0.865,0.897,superior
C5,body,5,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.865,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.846,0.865,0.838,0.87,superior
C6,body,6,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.838,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.821,0.838,0.815,0.846,superior
C7,body,7,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.815,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.795,0.815,0.79,0.821,superior
T1,body,8,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.79,,0.016,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.77,0.79,0.76,0.795,superior
T2,body,9,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.76,,0.017,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.74,0.76,0.732,0.77,superior
T3,body,10,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.732,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.712,0.732,0.705,0.74,superior
T4,body,11,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.705,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.682,0.705,0.675,0.712,superior
T5,body,12,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.675,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.65,0.675,0.645,0.682,superior
T6,body,13,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.645,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.62,0.645,0.613,0.65,superior
T7,body,14,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.613,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.591,0.613,0.584,0.62,superior
T8,body,15,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.584,,0.018,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.56,0.584,0.555,0.591,superior
T9,body,16,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.555,,0.02,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.53,0.555,0.525,0.56,superior
T10,body,17,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.525,,0.023,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.495,0.525,0.49,0.53,superior
T11,body,18,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.49,,0.025,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.457,0.49,0.45,0.495,superior
T12,body,19,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.45,,0.027,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.415,0.45,0.406,0.457,superior
L1,body,20,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.406,,0.028,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.367,0.406,0.357,0.415,superior
L2,body,21,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.357,,0.029,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.317,0.357,0.305,0.367,superior
L3,body,22,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.305,,0.03,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.263,0.305,0.255,0.317,superior
L4,body,23,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.255,,0.03,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.215,0.255,0.205,0.263,superior
L5,body,24,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.205,,0.032,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.168,0.205,0.16,0.215,superior
S1,body,25,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.15,,0.032,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.12,0.163,0.13,0.168,superior
C2,body,2,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.925,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.925,0.955,0.918,0.965,inferior
C3,body,3,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.897,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.897,0.918,0.888,0.925,inferior
C4,body,4,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.87,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.87,0.888,0.865,0.897,inferior
C5,body,5,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.846,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.846,0.865,0.838,0.87,inferior
C6,body,6,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.821,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.821,0.838,0.815,0.846,inferior
C7,body,7,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.795,,0.015,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.795,0.815,0.79,0.821,inferior
T1,body,8,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.77,,0.016,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.77,0.79,0.76,0.795,inferior
T2,body,9,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.74,,0.017,,yes,yes,no,,,,,,,,,,,,,,,,,,,0.74,0.76,0.732,0.77,inferior
