level,vertebral_number,body_interspace,approach,category,implant,object,side,x,y,fusion,interbody_fusion,fixation_uiv_liv,direction,object_id
T4,11,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.682,yes,no,no,inferior,T4_central_anterior_buttress_plate_2
T5,12,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.65,yes,no,no,inferior,T5_central_anterior_buttress_plate_2
T6,13,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.62,yes,no,no,inferior,T6_central_anterior_buttress_plate_2
T7,14,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.591,yes,no,no,inferior,T7_central_anterior_buttress_plate_2
T8,15,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.56,yes,no,no,inferior,T8_central_anterior_buttress_plate_2
T9,16,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.53,yes,no,no,inferior,T9_central_anterior_buttress_plate_2
T10,17,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.495,yes,no,no,inferior,T10_central_anterior_buttress_plate_2
T11,18,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.457,yes,no,no,inferior,T11_central_anterior_buttress_plate_2
T12,19,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.415,yes,no,no,inferior,T12_central_anterior_buttress_plate_2
L1,20,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.367,yes,no,no,inferior,L1_central_anterior_buttress_plate_2
L2,21,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.317,yes,no,no,inferior,L2_central_anterior_buttress_plate_2
L3,22,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.263,yes,no,no,inferior,L3_central_anterior_buttress_plate_2
L4,23,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.215,yes,no,no,inferior,L4_central_anterior_buttress_plate_2
L5,24,body,anterior,anterior_disc,yes,anterior_buttress_plate,central,0.5,0.168,yes,no,no,inferior,L5_central_anterior_buttress_plate_2
C1-C2,1.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.96,no,no,no,,C1-C2_central_anterior_disc_arthroplasty_1
C2-C3,2.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.9215,no,no,no,,C2-C3_central_anterior_disc_arthroplasty_1
C3-C4,3.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8925,no,no,no,,C3-C4_central_anterior_disc_arthroplasty_1
C4-C5,4.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8675,no,no,no,,C4-C5_central_anterior_disc_arthroplasty_1
C5-C6,5.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8425,no,no,no,,C5-C6_central_anterior_disc_arthroplasty_1
C6-C7,6.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.8175,no,no,no,,C6-C7_central_anterior_disc_arthroplasty_1
C7-T1,7.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.7925,no,no,no,,C7-T1_central_anterior_disc_arthroplasty_1
T1-T2,8.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.765,no,no,no,,T1-T2_central_anterior_disc_arthroplasty_1
T2-T3,9.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.735,no,no,no,,T2-T3_central_anterior_disc_arthroplasty_1
T3-T4,10.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.705,no,no,no,,T3-T4_central_anterior_disc_arthroplasty_1
T4-T5,11.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.6725,no,no,no,,T4-T5_central_anterior_disc_arthroplasty_1
T5-T6,12.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.6475,no,no,no,,T5-T6_central_anterior_disc_arthroplasty_1
T6-T7,13.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.615,no,no,no,,T6-T7_central_anterior_disc_arthroplasty_1
T7-T8,14.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.5875,no,no,no,,T7-T8_central_anterior_disc_arthroplasty_1
T8-T9,15.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.555,no,no,no,,T8-T9_central_anterior_disc_arthroplasty_1
T9-T10,16.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.5275,no,no,no,,T9-T10_central_anterior_disc_arthroplasty_1
T10-T11,17.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.4925,no,no,no,,T10-T11_central_anterior_disc_arthroplasty_1
T11-T12,18.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.4475,no,no,no,,T11-T12_central_anterior_disc_arthroplasty_1
T12-L1,19.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.405,no,no,no,,T12-L1_central_anterior_disc_arthroplasty_1
L1-L2,20.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.3575,no,no,no,,L1-L2_central_anterior_disc_arthroplasty_1
L2-L3,21.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.309,no,no,no,,L2-L3_central_anterior_disc_arthroplasty_1
L3-L4,22.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.255,no,no,no,,L3-L4_central_anterior_disc_arthroplasty_1
L4-L5,23.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.2125,no,no,no,,L4-L5_central_anterior_disc_arthroplasty_1
L5-S1,24.5,interspace,anterior,anterior_disc,yes,anterior_disc_arthroplasty,central,0.5,0.155,no,no,no,,L5-S1_central_anterior_disc_arthroplasty_1
C1-C2,1.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.96,yes,no,yes,,C1-C2_central_anterior_plate_1
C2-C3,2.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.9215,yes,no,yes,,C2-C3_central_anterior_plate_1
C3-C4,3.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8925,yes,no,yes,,C3-C4_central_anterior_plate_1
C4-C5,4.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8675,yes,no,yes,,C4-C5_central_anterior_plate_1
C5-C6,5.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8425,yes,no,yes,,C5-C6_central_anterior_plate_1
C6-C7,6.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.8175,yes,no,yes,,C6-C7_central_anterior_plate_1
C7-T1,7.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.7925,yes,no,yes,,C7-T1_central_anterior_plate_1
T1-T2,8.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.765,yes,no,yes,,T1-T2_central_anterior_plate_1
T2-T3,9.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.735,yes,no,yes,,T2-T3_central_anterior_plate_1
T3-T4,10.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.705,yes,no,yes,,T3-T4_central_anterior_plate_1
T4-T5,11.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.6725,yes,no,yes,,T4-T5_central_anterior_plate_1
T5-T6,12.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.6475,yes,no,yes,,T5-T6_central_anterior_plate_1
T6-T7,13.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.615,yes,no,yes,,T6-T7_central_anterior_plate_1
T7-T8,14.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.5875,yes,no,yes,,T7-T8_central_anterior_plate_1
T8-T9,15.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.555,yes,no,yes,,T8-T9_central_anterior_plate_1
T9-T10,16.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.5275,yes,no,yes,,T9-T10_central_anterior_plate_1
T10-T11,17.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.4925,yes,no,yes,,T10-T11_central_anterior_plate_1
T11-T12,18.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.4475,yes,no,yes,,T11-T12_central_anterior_plate_1
T12-L1,19.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.405,yes,no,yes,,T12-L1_central_anterior_plate_1
L1-L2,20.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.3575,yes,no,yes,,L1-L2_central_anterior_plate_1
L2-L3,21.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.309,yes,no,yes,,L2-L3_central_anterior_plate_1
L3-L4,22.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.255,yes,no,yes,,L3-L4_central_anterior_plate_1
L4-L5,23.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.2125,yes,no,yes,,L4-L5_central_anterior_plate_1
L5-S1,24.5,interspace,anterior,anterior_disc,yes,anterior_plate,central,0.5,0.155,yes,no,yes,,L5-S1_central_anterior_plate_1
C1,1,body,anterior,anterior_body,no,corpectomy,central,0.5,0.975,yes,yes,no,,C1_central_corpectomy_1
C2,2,body,anterior,anterior_body,no,corpectomy,central,0.5,0.94,yes,yes,no,,C2_central_corpectomy_1
C3,3,body,anterior,anterior_body,no,corpectomy,central,0.5,0.9075,yes,yes,no,,C3_central_corpectomy_1
C4,4,body,anterior,anterior_body,no,corpectomy,central,0.5,0.879,yes,yes,no,,C4_central_corpectomy_1
C5,5,body,anterior,anterior_body,no,corpectomy,central,0.5,0.8555,yes,yes,no,,C5_central_corpectomy_1
C6,6,body,anterior,anterior_body,no,corpectomy,central,0.5,0.8295,yes,yes,no,,C6_central_corpectomy_1
C7,7,body,anterior,anterior_body,no,corpectomy,central,0.5,0.805,yes,yes,no,,C7_central_corpectomy_1
T1,8,body,anterior,anterior_body,no,corpectomy,central,0.5,0.78,yes,yes,no,,T1_central_corpectomy_1
T2,9,body,anterior,anterior_body,no,corpectomy,central,0.5,0.75,yes,yes,no,,T2_central_corpectomy_1
T3,10,body,anterior,anterior_body,no,corpectomy,central,0.5,0.722,yes,yes,no,,T3_central_corpectomy_1
T4,11,body,anterior,anterior_body,no,corpectomy,central,0.5,0.6935,yes,yes,no,,T4_central_corpectomy_1
T5,12,body,anterior,anterior_body,no,corpectomy,central,0.5,0.6625,yes,yes,no,,T5_central_corpectomy_1
T6,13,body,anterior,anterior_body,no,corpectomy,central,0.5,0.6325,yes,yes,no,,T6_central_corpectomy_1
T7,14,body,anterior,anterior_body,no,corpectomy,central,0.5,0.602,yes,yes,no,,T7_central_corpectomy_1
T8,15,body,anterior,anterior_body,no,corpectomy,central,0.5,0.572,yes,yes,no,,T8_central_corpectomy_1
T9,16,body,anterior,anterior_body,no,corpectomy,central,0.5,0.5425,yes,yes,no,,T9_central_corpectomy_1
T10,17,body,anterior,anterior_body,no,corpectomy,central,0.5,0.51,yes,yes,no,,T10_central_corpectomy_1
T11,18,body,anterior,anterior_body,no,corpectomy,central,0.5,0.4735,yes,yes,no,,T11_central_corpectomy_1
T12,19,body,anterior,anterior_body,no,corpectomy,central,0.5,0.4325,yes,yes,no,,T12_central_corpectomy_1
L1,20,body,anterior,anterior_body,no,corpectomy,central,0.5,0.3865,yes,yes,no,,L1_central_corpectomy_1
L2,21,body,anterior,anterior_body,no,corpectomy,central,0.5,0.337,yes,yes,no,,L2_central_corpectomy_1
L3,22,body,anterior,anterior_body,no,corpectomy,central,0.5,0.284,yes,yes,no,,L3_central_corpectomy_1
L4,23,body,anterior,anterior_body,no,corpectomy,central,0.5,0.235,yes,yes,no,,L4_central_corpectomy_1
L5,24,body,anterior,anterior_body,no,corpectomy,central,0.5,0.1865,yes,yes,no,,L5_central_corpectomy_1
C2,2,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.955,yes,yes,no,superior,C2_central_partial_corpectomy_1
C3,3,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.918,yes,yes,no,superior,C3_central_partial_corpectomy_1
C4,4,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.888,yes,yes,no,superior,C4_central_partial_corpectomy_1
C5,5,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.865,yes,yes,no,superior,C5_central_partial_corpectomy_1
C6,6,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.838,yes,yes,no,superior,C6_central_partial_corpectomy_1
C7,7,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.815,yes,yes,no,superior,C7_central_partial_corpectomy_1
T1,8,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.79,yes,yes,no,superior,T1_central_partial_corpectomy_1
T2,9,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.76,yes,yes,no,superior,T2_central_partial_corpectomy_1
T3,10,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.732,yes,yes,no,superior,T3_central_partial_corpectomy_1
T4,11,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.705,yes,yes,no,superior,T4_central_partial_corpectomy_1
T5,12,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.675,yes,yes,no,superior,T5_central_partial_corpectomy_1
T6,13,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.645,yes,yes,no,superior,T6_central_partial_corpectomy_1
T7,14,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.613,yes,yes,no,superior,T7_central_partial_corpectomy_1
T8,15,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.584,yes,yes,no,superior,T8_central_partial_corpectomy_1
T9,16,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.555,yes,yes,no,superior,T9_central_partial_corpectomy_1
T10,17,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.525,yes,yes,no,superior,T10_central_partial_corpectomy_1
T11,18,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.49,yes,yes,no,superior,T11_central_partial_corpectomy_1
T12,19,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.45,yes,yes,no,superior,T12_central_partial_corpectomy_1
L1,20,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.406,yes,yes,no,superior,L1_central_partial_corpectomy_1
L2,21,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.357,yes,yes,no,superior,L2_central_partial_corpectomy_1
L3,22,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.305,yes,yes,no,superior,L3_central_partial_corpectomy_1
L4,23,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.255,yes,yes,no,superior,L4_central_partial_corpectomy_1
L5,24,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.205,yes,yes,no,superior,L5_central_partial_corpectomy_1
S1,25,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.15,yes,yes,no,superior,S1_central_partial_corpectomy_1
C2,2,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.925,yes,yes,no,inferior,C2_central_partial_corpectomy_2
C3,3,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.897,yes,yes,no,inferior,C3_central_partial_corpectomy_2
C4,4,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.87,yes,yes,no,inferior,C4_central_partial_corpectomy_2
C5,5,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.846,yes,yes,no,inferior,C5_central_partial_corpectomy_2
C6,6,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.821,yes,yes,no,inferior,C6_central_partial_corpectomy_2
C7,7,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.795,yes,yes,no,inferior,C7_central_partial_corpectomy_2
T1,8,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.77,yes,yes,no,inferior,T1_central_partial_corpectomy_2
T2,9,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.74,yes,yes,no,inferior,T2_central_partial_corpectomy_2
T3,10,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.712,yes,yes,no,inferior,T3_central_partial_corpectomy_2
T4,11,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.682,yes,yes,no,inferior,T4_central_partial_corpectomy_2
T5,12,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.65,yes,yes,no,inferior,T5_central_partial_corpectomy_2
T6,13,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.62,yes,yes,no,inferior,T6_central_partial_corpectomy_2
T7,14,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.591,yes,yes,no,inferior,T7_central_partial_corpectomy_2
T8,15,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.56,yes,yes,no,inferior,T8_central_partial_corpectomy_2
T9,16,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.53,yes,yes,no,inferior,T9_central_partial_corpectomy_2
T10,17,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.495,yes,yes,no,inferior,T10_central_partial_corpectomy_2
T11,18,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.457,yes,yes,no,inferior,T11_central_partial_corpectomy_2
T12,19,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.415,yes,yes,no,inferior,T12_central_partial_corpectomy_2
L1,20,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.367,yes,yes,no,inferior,L1_central_partial_corpectomy_2
L2,21,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.317,yes,yes,no,inferior,L2_central_partial_corpectomy_2
L3,22,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.263,yes,yes,no,inferior,L3_central_partial_corpectomy_2
L4,23,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.215,yes,yes,no,inferior,L4_central_partial_corpectomy_2
L5,24,body,anterior,anterior_body,yes,partial_corpectomy,central,0.5,0.168,yes,yes,no,inferior,L5_central_partial_corpectomy_2
C1,1,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.975,yes,yes,no,,C1_central_corpectomy_cage_1
C2,2,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.94,yes,yes,no,,C2_central_corpectomy_cage_1
C3,3,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.9075,yes,yes,no,,C3_central_corpectomy_cage_1
C4,4,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.879,yes,yes,no,,C4_central_corpectomy_cage_1
C5,5,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.8555,yes,yes,no,,C5_central_corpectomy_cage_1
C6,6,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.8295,yes,yes,no,,C6_central_corpectomy_cage_1
C7,7,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.805,yes,yes,no,,C7_central_corpectomy_cage_1
T1,8,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.78,yes,yes,no,,T1_central_corpectomy_cage_1
T2,9,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.75,yes,yes,no,,T2_central_corpectomy_cage_1
T3,10,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.722,yes,yes,no,,T3_central_corpectomy_cage_1
T4,11,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.6935,yes,yes,no,,T4_central_corpectomy_cage_1
T5,12,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.6625,yes,yes,no,,T5_central_corpectomy_cage_1
T6,13,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.6325,yes,yes,no,,T6_central_corpectomy_cage_1
T7,14,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.602,yes,yes,no,,T7_central_corpectomy_cage_1
T8,15,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.572,yes,yes,no,,T8_central_corpectomy_cage_1
T9,16,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.5425,yes,yes,no,,T9_central_corpectomy_cage_1
T10,17,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.51,yes,yes,no,,T10_central_corpectomy_cage_1
T11,18,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.4735,yes,yes,no,,T11_central_corpectomy_cage_1
T12,19,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.4325,yes,yes,no,,T12_central_corpectomy_cage_1
L1,20,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.3865,yes,yes,no,,L1_central_corpectomy_cage_1
L2,21,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.337,yes,yes,no,,L2_central_corpectomy_cage_1
L3,22,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.284,yes,yes,no,,L3_central_corpectomy_cage_1
L4,23,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.235,yes,yes,no,,L4_central_corpectomy_cage_1
L5,24,body,anterior,anterior_body,yes,corpectomy_cage,central,0.5,0.1865,yes,yes,no,,L5_central_corpectomy_cage_1
C1-C2,1.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.96,yes,yes,no,,C1-C2_central_decompression_diskectomy_fusion_1
C2-C3,2.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.9215,yes,yes,no,,C2-C3_central_decompression_diskectomy_fusion_1
C3-C4,3.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.8925,yes,yes,no,,C3-C4_central_decompression_diskectomy_fusion_1
C4-C5,4.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.8675,yes,yes,no,,C4-C5_central_decompression_diskectomy_fusion_1
C5-C6,5.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.8425,yes,yes,no,,C5-C6_central_decompression_diskectomy_fusion_1
C6-C7,6.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.8175,yes,yes,no,,C6-C7_central_decompression_diskectomy_fusion_1
C7-T1,7.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.7925,yes,yes,no,,C7-T1_central_decompression_diskectomy_fusion_1
T1-T2,8.5,interspace,anterior,anterior_interbody_fusion,yes,decompression_diskectomy_fusion,central,0.5,0.765,yes,yes,no,,T1-T2_central_decompression_diskectomy_fusion_1
